Character,Time Used to Type Last Character (ms),Last 2 Characters,Time Used to Type Last 2 Characters (ms),Count
h,116.0589, h,156.9733,1.0
i,73.4046,hi,189.4635,1.0
s,21.5926,is,94.9972,1.0
 ,64.3141,s ,85.9067,1.0
r,117.5492, r,181.8633,1.0
i,87.4022,ri,204.9514,1.0
g,43.0538,ig,130.456,1.0
h,78.7535,gh,121.8073,1.0
t,38.5771,ht,117.3306,1.0
 ,42.3365,t ,80.9136,1.0
f,157.7392, f,200.0757,1.0
o,44.7365,fo,202.4757,1.0
o,131.2476,oo,175.9841,1.0
t,43.7925,ot,175.0401,1.0
.,99.1853,t.,142.9778,1.0
d,27.1683,nd,71.1307,
 ,44.0417,d ,71.21,
t,116.2898, t,160.3315,
w,144.3511,tw,260.6409,
o,29.0105,wo,173.3616,
 ,89.0116,o ,118.0221,
t,144.1905, t,233.2021,
u,72.3302,tu,216.5207,
r,101.239,ur,173.5692,
t,145.8409,rt,247.0799,
l,78.1292,tl,223.9701,
e,85.2423,le,163.3715,
d,122.6118,ed,207.8541,
o,71.4927,do,194.1045,
v,59.0193,ov,130.512,
e,71.2144,ve,130.2337,
s,30.5121,es,101.7265,
",",87.0456,"s,",117.5577,
 ,73.0337,", ",160.0793,
o,87.0134, o,160.0471,
r,42.0303,or,129.0437,
 ,48.9443,r ,90.9746,
t,144.1588, t,193.1031,
w,130.1128,tw,274.2716,
o,55.8838,wo,185.9966,
 ,89.6388,o ,145.5226,
y,84.7819, y,174.4207,
o,53.4199,yo,138.2018,
u,74.0452,ou,127.4651,
n,28.7464,un,102.7916,
g,29.109,ng,57.8554,
 ,28.1771,g ,57.2861,
p,119.1769, p,147.354,
i,139.2739,pi,258.4508,
g,60.5426,ig,199.8165,
e,56.78,ge,117.3226,
o,48.9814,eo,105.7614,
n,26.6412,on,75.6226,
s,64.2234,ns,90.8646,
",",98.0724,"s,",162.2958,
 ,69.466,", ",167.5384,
s,118.0478, s,187.5138,
u,57.0999,su,175.1477,
c,54.4631,uc,111.563,
h,14.6749,ch,69.138,
 ,34.003,h ,48.6779,
a,51.5843, a,85.5873,
s,74.792,as,126.3763,
 ,42.8404,s ,117.6324,
h,118.405, h,161.2454,
e,41.8824,he,160.2874,
 ,58.1005,e ,99.9829,
i,75.7284, i,133.8289,
s,40.9016,is,116.63,
 ,57.7218,s ,98.6234,
a,87.2476, a,144.9694,
b,44.8092,ab,132.0568,
l,57.9892,bl,102.7984,
e,48.0213,le,106.0105,
 ,66.6232,e ,114.6445,
t,114.5463, t,181.1695,
o,44.5897,to,159.136,
 ,15.8403,o ,60.43,
a,113.2195, a,129.0598,
f,56.1976,af,169.4171,
f,116.1902,ff,172.3878,
o,67.0379,fo,183.2281,
r,22.1892,or,89.2271,
d,74.6429,rd,96.8321,
;,90.8955,d;,165.5384,
 ,52.5811,; ,143.4766,
a,88.9256, a,141.5067,
n,28.8875,an,117.8131,
d,27.7129,nd,56.6004,
 ,27.489,d ,55.2019,
t,104.2106, t,131.6996,
h,41.7208,th,145.9314,
e,15.2863,he,57.0071,
 ,58.4989,e ,73.7852,
o,74.6565, o,133.1554,
n,41.4943,on,116.1508,
e,79.492,ne,120.9863,
 ,62.0091,e ,141.5011,
s,59.5011, s,121.5102,
h,41.9753,sh,101.4764,
a,81.3637,ha,123.339,
l,65.4648,al,146.8285,
l,103.1598,ll,168.6246,
 ,42.4496,l ,145.6094,
b,116.4898, b,158.9394,
e,41.9817,be,158.4715,
 ,15.96,e ,57.9417,
a,76.2207, a,92.1807,
 ,81.8987,a ,158.1194,
s,103.5767, s,185.4754,
i,47.7334,si,151.3101,
n,53.0794,in,100.8128,
 ,43.8718,n ,96.9512,
o,70.7202, o,114.592,
f,73.3741,of,144.0943,
f,129.5413,ff,202.9154,
e,24.2179,fe,153.7592,
r,64.921,er,89.1389,
i,84.3457,ri,149.2667,
n,59.0589,in,143.4046,
g,13.6268,ng,72.6857,
",",74.9225,"g,",88.5493,
 ,59.3125,", ",134.235,
a,61.4388, a,120.7513,
n,53.1999,an,114.6387,
d,25.3914,nd,78.5913,
 ,30.9011,d ,56.2925,
t,102.2214, t,133.1225,
h,44.1323,th,146.3537,
e,3.1767,he,47.309,
 ,53.8666,e ,57.0433,
o,76.0306, o,129.8972,
t,40.6223,ot,116.6529,
h,16.6322,th,57.2545,
e,72.9763,he,89.6085,
r,41.9081,er,114.8844,
 ,47.7385,r ,89.6466,
a,66.0565, a,113.795,
 ,70.1353,a ,136.1918,
b,131.7651, b,201.9004,
u,103.1747,bu,234.9398,
r,2.6728,ur,105.8475,
n,141.0939,rn,143.7667,
t,29.682,nt,170.7759,
 ,14.8601,t ,44.5421,
o,72.3165, o,87.1766,
f,57.9557,of,130.2722,
f,132.1242,ff,190.0799,
e,65.6009,fe,197.7251,
r,20.6253,er,86.2262,
i,130.8888,ri,151.5141,
n,13.5566,in,144.4454,
g,29.0751,ng,42.6317,
.,88.0841,g.,117.1592,
n,88.1182,On,318.4704,
 ,15.5012,n ,103.6194,
t,113.9374, t,129.4386,
h,27.9559,th,141.8933,
e,15.1515,he,43.1074,
 ,44.6474,e ,59.7989,
e,101.0559, e,145.7033,
i,58.5332,ei,159.5891,
g,100.7736,ig,159.3068,
h,145.7592,th,718.7179,
 ,55.5233,h ,201.2825,
d,203.2707, d,258.794,
a,44.1952,da,247.4659,
y,74.4484,ay,118.6436,
 ,41.5409,y ,115.9893,
 ,14.943,e ,72.034,
s,131.2011, s,146.1441,
h,37.7271,sh,168.9282,
a,75.5388,ha,113.2659,
l,163.9832,al,239.522,
b,117.9758, b,175.3522,
r,26.8215,br,144.7973,
i,104.057,ri,130.8785,
n,58.3364,in,162.3934,
g,28.8235,ng,87.1599,
 ,34.3868,g ,63.2103,
t,122.7945, t,157.1813,
h,13.7698,th,136.5643,
e,51.6449,he,65.4147,
m,94.7534,em,146.3983,
 ,36.6775,m ,131.4309,
f,107.9659, f,144.6434,
r,52.0762,or,117.7743,
 ,39.2686,r ,91.3448,
h,117.8392, h,157.1078,
i,71.1338,hi,188.973,
s,43.6742,is,114.808,
 ,44.2983,s ,87.9725,
c,88.2875, c,132.5858,
l,57.9564,cl,146.2439,
e,35.8439,le,93.8003,
a,20.7669,ea,56.6108,
n,114.6499,an,135.4168,
s,161.2113,ns,275.8612,
i,64.6138,si,225.8251,
n,65.9319,in,130.5457,
g,13.7469,ng,79.6788,
 ,37.9801,g ,51.727,
t,123.1515, t,161.1316,
o,57.7798,to,180.9313,
 ,13.9534,o ,71.7332,
t,114.3422, t,128.2956,
h,29.0738,th,143.416,
e,46.3225,he,75.3963,
 ,52.4649,e ,98.7874,
p,105.5641, p,158.029,
r,28.3212,pr,133.8853,
i,103.1268,ri,131.448,
e,13.1247,ie,116.2515,
s,41.5642,es,54.6889,
t,64.305,st,105.8692,
",",55.2745,"t,",119.5795,
 ,70.1821,", ",125.4566,
t,117.7343, t,187.9164,
o,45.3294,to,163.0637,
 ,26.9421,o ,72.2715,
t,101.7123, t,128.6544,
h,15.1016,th,116.8139,
e,58.8538,he,73.9554,
 ,49.9751,e ,108.8289,
d,92.9029, d,142.878,
o,69.2396,do,162.1425,
o,133.8146,oo,203.0542,
r,27.355,or,161.1696,
 ,31.3989,r ,58.7539,
o,99.191, o,130.5899,
f,44.6696,of,143.8606,
 ,28.5634,f ,73.233,
